"scenario","year","lcm","area"
"0: Baseline",2015,"Arable and horticulture",5546511.5625
"0: Baseline",2015,"Bog",1089384.9375
"0: Baseline",2015,"Broadleaved woodland",1614906.1875
"0: Baseline",2015,"Coastal",388057.875
"0: Baseline",2015,"Coniferous woodland",1766968.9375
"0: Baseline",2015,"Fen, marsh & swamp",166634.625
"0: Baseline",2015,"Freshwater",312163.0625
"0: Baseline",2015,"Heather",2694729
"0: Baseline",2015,"Improved grassland",7004817
"0: Baseline",2015,"Inland rock",126968.75
"0: Baseline",2015,"Saltmarsh",71372.875
"0: Baseline",2015,"Semi-natural grassland",2236996.6875
"0: Baseline",2015,"Urban and suburban",1705801.625
"0: Baseline",2020,"Arable and horticulture",5525213.75
"0: Baseline",2020,"Bog",1089384.9375
"0: Baseline",2020,"Broadleaved woodland",1614906.1875
"0: Baseline",2020,"Coastal",388057.875
"0: Baseline",2020,"Coniferous woodland",1766968.9375
"0: Baseline",2020,"Fen, marsh & swamp",166634.625
"0: Baseline",2020,"Freshwater",312163.0625
"0: Baseline",2020,"Heather",2694729
"0: Baseline",2020,"Improved grassland",6960252.875
"0: Baseline",2020,"Inland rock",126968.75
"0: Baseline",2020,"Saltmarsh",71372.875
"0: Baseline",2020,"Semi-natural grassland",2236996.6875
"0: Baseline",2020,"Urban and suburban",1771663.5625
"0: Baseline",2025,"Arable and horticulture",5503989.9375
"0: Baseline",2025,"Bog",1089384.9375
"0: Baseline",2025,"Broadleaved woodland",1614906.1875
"0: Baseline",2025,"Coastal",388057.875
"0: Baseline",2025,"Coniferous woodland",1766968.9375
"0: Baseline",2025,"Fen, marsh & swamp",166634.625
"0: Baseline",2025,"Freshwater",312163.0625
"0: Baseline",2025,"Heather",2694729
"0: Baseline",2025,"Improved grassland",6915614.9375
"0: Baseline",2025,"Inland rock",126968.75
"0: Baseline",2025,"Saltmarsh",71372.875
"0: Baseline",2025,"Semi-natural grassland",2236996.6875
"0: Baseline",2025,"Urban and suburban",1837525.3125
