"scenario","year","gwp_t"
"0: Baseline",2015,43.0134872862861
"0: Baseline",2016,43.5246412628641
"0: Baseline",2017,46.6955840500489
"0: Baseline",2018,47.0923757611269
"0: Baseline",2019,47.7220781219148
"0: Baseline",2020,48.3791793987848
"0: Baseline",2021,48.9373971938151
"0: Baseline",2022,49.3068511080369
"0: Baseline",2023,49.6696599806092
"0: Baseline",2024,49.9094989485001
"0: Baseline",2025,50.2425618494563
"0: Baseline",2026,50.6501146503667
"0: Baseline",2027,50.5909940650905
"0: Baseline",2028,51.0867171671513
"0: Baseline",2029,51.3809653183429
"0: Baseline",2030,51.8118531273808
"0: Baseline",2031,52.2609539477045
"0: Baseline",2032,52.8902659851164
"0: Baseline",2033,53.525950459088
"0: Baseline",2034,53.939555136818
"0: Baseline",2035,54.4753748301728
"0: Baseline",2036,55.2045298166781
"0: Baseline",2037,54.4410260211555
"0: Baseline",2038,54.6782149236062
"0: Baseline",2039,54.5310349122158
"0: Baseline",2040,55.8817658241532
"0: Baseline",2041,56.6380268112758
"0: Baseline",2042,56.9155887174624
"0: Baseline",2043,57.2980803853644
"0: Baseline",2044,57.3596013443845
"0: Baseline",2045,57.7666166187195
"0: Baseline",2046,58.2304128181422
"0: Baseline",2047,57.2950231025302
"0: Baseline",2048,57.539176019394
"0: Baseline",2049,57.4538947124003
"0: Baseline",2050,57.6455817568607
"0: Baseline",2051,57.7576070796486
"0: Baseline",2052,57.6532869530528
"0: Baseline",2053,57.5680098815509
"0: Baseline",2054,57.3058805280687
"0: Baseline",2055,57.448328739733
"0: Baseline",2056,57.6450813042624
"0: Baseline",2057,56.2613891580577
"0: Baseline",2058,56.1954719753536
"0: Baseline",2059,55.971476229615
"0: Baseline",2060,59.4888580577769
"0: Baseline",2061,59.814115820878
"0: Baseline",2062,60.6049602539828
"0: Baseline",2063,61.0849080054118
"0: Baseline",2064,61.5084212084811
"0: Baseline",2065,61.9214606297486
"0: Baseline",2066,62.3347368910502
"0: Baseline",2067,60.3003663606666
"0: Baseline",2068,60.4783709261218
"0: Baseline",2069,60.5015714658847
"0: Baseline",2070,60.5470278636623
"0: Baseline",2071,60.6552086390114
"0: Baseline",2072,60.6597112335111
"0: Baseline",2073,60.7096923233109
"0: Baseline",2074,60.6057970175475
"0: Baseline",2075,60.5707485380539
"0: Baseline",2076,60.5382781297228
"0: Baseline",2077,58.9655723206918
"0: Baseline",2078,59.0319929025246
"0: Baseline",2079,59.0321865980695
"0: Baseline",2080,61.3279558572492
"0: Baseline",2081,61.4365818585427
"0: Baseline",2082,61.5054385046911
"0: Baseline",2083,62.0030884758107
"0: Baseline",2084,62.5132681885555
"0: Baseline",2085,62.8641533153778
"0: Baseline",2086,63.2189516854784
"0: Baseline",2087,63.2451226873911
"0: Baseline",2088,63.4714724214376
"0: Baseline",2089,63.8634573118551
"0: Baseline",2090,64.0155531869574
"0: Baseline",2091,64.2152367064886
"0: Baseline",2092,64.4353479652255
"0: Baseline",2093,65.3982702603359
"0: Baseline",2094,65.7848976569917
"0: Baseline",2095,65.9550062734538
"0: Baseline",2096,66.1894147365632
"0: Baseline",2097,66.1477104751461
"0: Baseline",2098,66.1488092631675
"0: Baseline",2099,66.2833230208532
"0: Baseline",2100,63.8527940998552
"1: On Farm Measures (Organic)",2015,43.0134872862861
"1: On Farm Measures (Organic)",2016,43.5233383308599
"1: On Farm Measures (Organic)",2017,46.6929781860405
"1: On Farm Measures (Organic)",2018,47.0884669651142
"1: On Farm Measures (Organic)",2019,47.716866393898
"1: On Farm Measures (Organic)",2020,48.5415055617948
"1: On Farm Measures (Organic)",2021,48.8718845805675
"1: On Farm Measures (Organic)",2022,48.1718268678931
"1: On Farm Measures (Organic)",2023,47.5186170210514
"1: On Farm Measures (Organic)",2024,46.7503005364162
"1: On Farm Measures (Organic)",2025,45.8926959824372
"1: On Farm Measures (Organic)",2026,45.0961142967704
"1: On Farm Measures (Organic)",2027,44.2289471711941
