"scenario","year","gwp_t"
"0: Baseline",2015,59.4356711184398
"0: Baseline",2016,59.9333362094731
"0: Baseline",2017,63.0907901111131
"0: Baseline",2018,63.4740929366463
"0: Baseline",2019,64.0903064118894
"0: Baseline",2020,64.7339188032146
"0: Baseline",2021,65.2786824477307
"0: Baseline",2022,65.6346822114382
"0: Baseline",2023,65.9840369334964
"0: Baseline",2024,66.210421750873
"0: Baseline",2025,66.530030501315
"0: Baseline",2026,66.924106165969
"0: Baseline",2027,66.8515084444364
"0: Baseline",2028,67.3337544102408
"0: Baseline",2029,67.614525425176
"0: Baseline",2030,68.0319360979575
"0: Baseline",2031,68.4675558126322
"0: Baseline",2032,69.0833867443953
"0: Baseline",2033,69.705590112718
"0: Baseline",2034,70.1057136847991
"0: Baseline",2035,70.628052272505
"0: Baseline",2036,71.3435212440004
"0: Baseline",2037,70.566331433468
"0: Baseline",2038,70.7898343209088
"0: Baseline",2039,70.6289682945085
"0: Baseline",2040,71.966013191436
"0: Baseline",2041,72.708532508962
"0: Baseline",2042,72.972352745552
"0: Baseline",2043,73.3411027438574
"0: Baseline",2044,73.3888820332809
"0: Baseline",2045,73.7821556380192
"0: Baseline",2046,74.231842187429
"0: Baseline",2047,73.282342821804
"0: Baseline",2048,73.5123860886548
"0: Baseline",2049,73.4129951316482
"0: Baseline",2050,73.5905725260956
"0: Baseline",2051,73.7025978488835
"0: Baseline",2052,73.5982777222877
"0: Baseline",2053,73.5130006507858
"0: Baseline",2054,73.2508712973036
"0: Baseline",2055,73.3933195089679
"0: Baseline",2056,73.5900720734973
"0: Baseline",2057,72.2063799272926
"0: Baseline",2058,72.1404627445885
"0: Baseline",2059,71.9164669988499
"0: Baseline",2060,75.4338488270117
"0: Baseline",2061,75.7591065901128
"0: Baseline",2062,76.5499510232176
"0: Baseline",2063,77.0298987746467
"0: Baseline",2064,77.453411977716
"0: Baseline",2065,77.8664513989835
"0: Baseline",2066,78.2797276602851
"0: Baseline",2067,76.2453571299015
"0: Baseline",2068,76.4233616953566
"0: Baseline",2069,76.4465622351196
"0: Baseline",2070,76.4920186328972
"0: Baseline",2071,76.6001994082463
"0: Baseline",2072,76.604702002746
"0: Baseline",2073,76.6546830925458
"0: Baseline",2074,76.5507877867823
"0: Baseline",2075,76.5157393072887
"0: Baseline",2076,76.4832688989577
"0: Baseline",2077,74.9105630899267
"0: Baseline",2078,74.9769836717595
"0: Baseline",2079,74.9771773673044
"0: Baseline",2080,77.2729466264841
"0: Baseline",2081,77.3815726277776
"0: Baseline",2082,77.450429273926
"0: Baseline",2083,77.9480792450456
"0: Baseline",2084,78.4582589577904
"0: Baseline",2085,78.8091440846127
"0: Baseline",2086,79.1639424547133
"0: Baseline",2087,79.190113456626
"0: Baseline",2088,79.4164631906725
"0: Baseline",2089,79.8084480810899
"0: Baseline",2090,79.9605439561923
"0: Baseline",2091,80.1602274757235
"0: Baseline",2092,80.3803387344604
"0: Baseline",2093,81.3432610295708
"0: Baseline",2094,81.7298884262266
"0: Baseline",2095,81.8999970426886
"0: Baseline",2096,82.1344055057981
"0: Baseline",2097,82.0927012443809
"0: Baseline",2098,82.0938000324024
