"scenario","year","category","gwp_t"
"0: Baseline",2015,"Agriculture",43.7276629604311
"0: Baseline",2015,"Peatlands",21.6286128825099
"0: Baseline",2015,"Woodlands (etc.)",-22.3427885566549
"0: Baseline",2016,"Agriculture",43.6873039349945
"0: Baseline",2016,"Peatlands",21.6286128825099
"0: Baseline",2016,"Woodlands (etc.)",-21.7912755546402
"0: Baseline",2017,"Agriculture",43.6469080932995
"0: Baseline",2017,"Peatlands",21.6286128825099
"0: Baseline",2017,"Woodlands (etc.)",-18.5799369257605
"0: Baseline",2018,"Agriculture",43.6064441708872
"0: Baseline",2018,"Peatlands",21.6286128825099
"0: Baseline",2018,"Woodlands (etc.)",-18.1426812922702
"0: Baseline",2019,"Agriculture",43.5658657782043
"0: Baseline",2019,"Peatlands",21.6286128825099
"0: Baseline",2019,"Woodlands (etc.)",-17.4724005387993
"0: Baseline",2020,"Agriculture",43.5251421846185
"0: Baseline",2020,"Peatlands",21.6286128825099
"0: Baseline",2020,"Woodlands (etc.)",-16.7745756683436
"0: Baseline",2021,"Agriculture",43.4842607977426
"0: Baseline",2021,"Peatlands",21.6286128825099
"0: Baseline",2021,"Woodlands (etc.)",-16.1754764864374
"0: Baseline",2022,"Agriculture",43.4432445706533
"0: Baseline",2022,"Peatlands",21.6286128825099
"0: Baseline",2022,"Woodlands (etc.)",-15.7650063451263
"0: Baseline",2023,"Agriculture",43.4021270187796
"0: Baseline",2023,"Peatlands",21.6286128825099
"0: Baseline",2023,"Woodlands (etc.)",-15.3610799206802
"0: Baseline",2024,"Agriculture",43.3609555726369
"0: Baseline",2024,"Peatlands",21.6286128825099
"0: Baseline",2024,"Woodlands (etc.)",-15.0800695066466
"0: Baseline",2025,"Agriculture",43.3197658473732
"0: Baseline",2025,"Peatlands",21.6286128825099
"0: Baseline",2025,"Woodlands (etc.)",-14.7058168804268
"0: Baseline",2026,"Agriculture",43.2785652549466
"0: Baseline",2026,"Peatlands",21.6286128825099
"0: Baseline",2026,"Woodlands (etc.)",-14.2570634870897
"0: Baseline",2027,"Agriculture",43.2373531007201
"0: Baseline",2027,"Peatlands",21.6286128825099
"0: Baseline",2027,"Woodlands (etc.)",-14.2749719181394
"0: Baseline",2028,"Agriculture",43.196125114079
"0: Baseline",2028,"Peatlands",21.6286128825099
"0: Baseline",2028,"Woodlands (etc.)",-13.7380208294376
"0: Baseline",2029,"Agriculture",43.1548708053257
"0: Baseline",2029,"Peatlands",21.6286128825099
"0: Baseline",2029,"Woodlands (etc.)",-13.4025183694927
"0: Baseline",2030,"Agriculture",43.1135829099665
"0: Baseline",2030,"Peatlands",21.6286128825099
"0: Baseline",2030,"Woodlands (etc.)",-12.9303426650956
"0: Baseline",2031,"Agriculture",43.0722628934847
"0: Baseline",2031,"Peatlands",21.6286128825099
"0: Baseline",2031,"Woodlands (etc.)",-12.4399218282901
"0: Baseline",2032,"Agriculture",43.0309178049353
"0: Baseline",2032,"Peatlands",21.6286128825099
"0: Baseline",2032,"Woodlands (etc.)",-11.7692647023287
"0: Baseline",2033,"Agriculture",42.9895479423715
"0: Baseline",2033,"Peatlands",21.6286128825099
"0: Baseline",2033,"Woodlands (etc.)",-11.0922103657934
"0: Baseline",2034,"Agriculture",42.9481534348015
"0: Baseline",2034,"Peatlands",21.6286128825099
"0: Baseline",2034,"Woodlands (etc.)",-10.6372111804934
"0: Baseline",2035,"Agriculture",42.9067347226325
"0: Baseline",2035,"Peatlands",21.6286128825099
"0: Baseline",2035,"Woodlands (etc.)",-10.0599727749695
"0: Baseline",2036,"Agriculture",42.8653371848247
"0: Baseline",2036,"Peatlands",21.6286128825099
"0: Baseline",2036,"Woodlands (etc.)",-9.28942025065651
"0: Baseline",2037,"Agriculture",42.8239166791167
"0: Baseline",2037,"Peatlands",21.6286128825099
"0: Baseline",2037,"Woodlands (etc.)",-10.0115035404711
"0: Baseline",2038,"Agriculture",42.7824769067081
"0: Baseline",2038,"Peatlands",21.6286128825099
"0: Baseline",2038,"Woodlands (etc.)",-9.73287486561177
"0: Baseline",2039,"Agriculture",42.741022636452
"0: Baseline",2039,"Peatlands",21.6286128825099
"0: Baseline",2039,"Woodlands (etc.)",-9.83860060674606
"0: Baseline",2040,"Agriculture",42.6995570134782
"0: Baseline",2040,"Peatlands",21.6286128825099
"0: Baseline",2040,"Woodlands (etc.)",-8.44640407183488
"0: Baseline",2041,"Agriculture",42.6580869840725
"0: Baseline",2041,"Peatlands",21.6286128825099
"0: Baseline",2041,"Woodlands (etc.)",-7.64867305530654
"0: Baseline",2042,"Agriculture",42.6166052949987
"0: Baseline",2042,"Peatlands",21.6286128825099
"0: Baseline",2042,"Woodlands (etc.)",-7.32962946004616
"0: Baseline",2043,"Agriculture",42.5751092014971
"0: Baseline",2043,"Peatlands",21.6286128825099
"0: Baseline",2043,"Woodlands (etc.)",-6.90564169864257
"0: Baseline",2044,"Agriculture",42.5335949756769
"0: Baseline",2044,"Peatlands",21.6286128825099
"0: Baseline",2044,"Woodlands (etc.)",-6.80260651380228
"0: Baseline",2045,"Agriculture",42.4920591654578
"0: Baseline",2045,"Peatlands",21.6286128825099
"0: Baseline",2045,"Woodlands (etc.)",-6.35405542924816
"0: Baseline",2046,"Agriculture",42.450506563513
"0: Baseline",2046,"Peatlands",21.6286128825099
"0: Baseline",2046,"Woodlands (etc.)",-5.84870662788071
"0: Baseline",2047,"Agriculture",42.4089315541863
"0: Baseline",2047,"Peatlands",21.6286128825099
"0: Baseline",2047,"Woodlands (etc.)",-6.74252133416605
"0: Baseline",2048,"Agriculture",42.3673306097719
"0: Baseline",2048,"Peatlands",21.6286128825099
"0: Baseline",2048,"Woodlands (etc.)",-6.45676747288779
"0: Baseline",2049,"Agriculture",42.3256994507579
"0: Baseline",2049,"Peatlands",21.6286128825099
"0: Baseline",2049,"Woodlands (etc.)",-6.5004176208674
"0: Baseline",2050,"Agriculture",42.2840348430432
"0: Baseline",2050,"Peatlands",21.6286128825099
"0: Baseline",2050,"Woodlands (etc.)",-6.26706596869233
"0: Baseline",2051,"Agriculture",42.2840348430432
"0: Baseline",2051,"Peatlands",21.6286128825099
"0: Baseline",2051,"Woodlands (etc.)",-6.15504064590443
"0: Baseline",2052,"Agriculture",42.2840348430432
"0: Baseline",2052,"Peatlands",21.6286128825099
"0: Baseline",2052,"Woodlands (etc.)",-6.25936077250021
"0: Baseline",2053,"Agriculture",42.2840348430432
"0: Baseline",2053,"Peatlands",21.6286128825099
"0: Baseline",2053,"Woodlands (etc.)",-6.34463784400212
"0: Baseline",2054,"Agriculture",42.2840348430432
"0: Baseline",2054,"Peatlands",21.6286128825099
"0: Baseline",2054,"Woodlands (etc.)",-6.60676719748437
"0: Baseline",2055,"Agriculture",42.2840348430432
"0: Baseline",2055,"Peatlands",21.6286128825099
"0: Baseline",2055,"Woodlands (etc.)",-6.46431898582003
"0: Baseline",2056,"Agriculture",42.2840348430432
"0: Baseline",2056,"Peatlands",21.6286128825099
"0: Baseline",2056,"Woodlands (etc.)",-6.26756642129066
"0: Baseline",2057,"Agriculture",42.2840348430432
"0: Baseline",2057,"Peatlands",21.6286128825099
"0: Baseline",2057,"Woodlands (etc.)",-7.65125856749531
"0: Baseline",2058,"Agriculture",42.2840348430432
"0: Baseline",2058,"Peatlands",21.6286128825099
"0: Baseline",2058,"Woodlands (etc.)",-7.71717575019944
"0: Baseline",2059,"Agriculture",42.2840348430432
"0: Baseline",2059,"Peatlands",21.6286128825099
"0: Baseline",2059,"Woodlands (etc.)",-7.94117149593803
"0: Baseline",2060,"Agriculture",42.2840348430432
"0: Baseline",2060,"Peatlands",21.6286128825099
"0: Baseline",2060,"Woodlands (etc.)",-4.42378966777618
"0: Baseline",2061,"Agriculture",42.2840348430432
"0: Baseline",2061,"Peatlands",21.6286128825099
"0: Baseline",2061,"Woodlands (etc.)",-4.09853190467509
"0: Baseline",2062,"Agriculture",42.2840348430432
"0: Baseline",2062,"Peatlands",21.6286128825099
"0: Baseline",2062,"Woodlands (etc.)",-3.30768747157028
"0: Baseline",2063,"Agriculture",42.2840348430432
"0: Baseline",2063,"Peatlands",21.6286128825099
"0: Baseline",2063,"Woodlands (etc.)",-2.82773972014121
"0: Baseline",2064,"Agriculture",42.2840348430432
"0: Baseline",2064,"Peatlands",21.6286128825099
"0: Baseline",2064,"Woodlands (etc.)",-2.40422651707192
"0: Baseline",2065,"Agriculture",42.2840348430432
"0: Baseline",2065,"Peatlands",21.6286128825099
"0: Baseline",2065,"Woodlands (etc.)",-1.99118709580444
"0: Baseline",2066,"Agriculture",42.2840348430432
"0: Baseline",2066,"Peatlands",21.6286128825099
"0: Baseline",2066,"Woodlands (etc.)",-1.57791083450282
"0: Baseline",2067,"Agriculture",42.2840348430432
"0: Baseline",2067,"Peatlands",21.6286128825099
"0: Baseline",2067,"Woodlands (etc.)",-3.61228136488646
"0: Baseline",2068,"Agriculture",42.2840348430432
"0: Baseline",2068,"Peatlands",21.6286128825099
"0: Baseline",2068,"Woodlands (etc.)",-3.4342767994313
"0: Baseline",2069,"Agriculture",42.2840348430432
"0: Baseline",2069,"Peatlands",21.6286128825099
"0: Baseline",2069,"Woodlands (etc.)",-3.41107625966836
"0: Baseline",2070,"Agriculture",42.2840348430432
"0: Baseline",2070,"Peatlands",21.6286128825099
"0: Baseline",2070,"Woodlands (etc.)",-3.36561986189074
"0: Baseline",2071,"Agriculture",42.2840348430432
"0: Baseline",2071,"Peatlands",21.6286128825099
"0: Baseline",2071,"Woodlands (etc.)",-3.25743908654166
"0: Baseline",2072,"Agriculture",42.2840348430432
"0: Baseline",2072,"Peatlands",21.6286128825099
"0: Baseline",2072,"Woodlands (etc.)",-3.25293649204194
"0: Baseline",2073,"Agriculture",42.2840348430432
"0: Baseline",2073,"Peatlands",21.6286128825099
"0: Baseline",2073,"Woodlands (etc.)",-3.20295540224217
"0: Baseline",2074,"Agriculture",42.2840348430432
"0: Baseline",2074,"Peatlands",21.6286128825099
"0: Baseline",2074,"Woodlands (etc.)",-3.3068507080056
"0: Baseline",2075,"Agriculture",42.2840348430432
"0: Baseline",2075,"Peatlands",21.6286128825099
"0: Baseline",2075,"Woodlands (etc.)",-3.3418991874992
"0: Baseline",2076,"Agriculture",42.2840348430432
"0: Baseline",2076,"Peatlands",21.6286128825099
"0: Baseline",2076,"Woodlands (etc.)",-3.37436959583021
