"scenario","year","category","kcal"
"0: Baseline",2015,"Animal-based products",16.3145191107946
"0: Baseline",2015,"Plant-based products",54.3571814378221
"0: Baseline",2020,"Animal-based products",16.2353570073679
"0: Baseline",2020,"Plant-based products",54.1540630016506
"0: Baseline",2025,"Animal-based products",16.1562528996607
"0: Baseline",2025,"Plant-based products",53.9517774867066
"0: Baseline",2030,"Animal-based products",16.0771602191157
"0: Baseline",2030,"Plant-based products",53.7489753919414
"0: Baseline",2035,"Animal-based products",15.9980396487924
"0: Baseline",2035,"Plant-based products",53.5458890794849
"0: Baseline",2040,"Animal-based products",15.9183211927996
"0: Baseline",2040,"Plant-based products",53.3380851208445
"0: Baseline",2045,"Animal-based products",15.8384783795263
"0: Baseline",2045,"Plant-based products",53.1287249476165
"0: Baseline",2050,"Animal-based products",15.7583293727787
"0: Baseline",2050,"Plant-based products",52.9103434738732
"1: On Farm Measures (Organic)",2015,"Animal-based products",16.3145191107946
"1: On Farm Measures (Organic)",2015,"Plant-based products",54.3571814378221
"1: On Farm Measures (Organic)",2020,"Animal-based products",16.2326240340619
"1: On Farm Measures (Organic)",2020,"Plant-based products",54.1439080550709
"1: On Farm Measures (Organic)",2025,"Animal-based products",15.7698324692309
"1: On Farm Measures (Organic)",2025,"Plant-based products",51.3144426142238
"1: On Farm Measures (Organic)",2030,"Animal-based products",15.3371617760429
"1: On Farm Measures (Organic)",2030,"Plant-based products",48.8426399557734
"1: On Farm Measures (Organic)",2035,"Animal-based products",14.9511909710865
"1: On Farm Measures (Organic)",2035,"Plant-based products",47.0033912797737
"1: On Farm Measures (Organic)",2040,"Animal-based products",14.8084321816616
"1: On Farm Measures (Organic)",2040,"Plant-based products",46.5689313849881
"1: On Farm Measures (Organic)",2045,"Animal-based products",14.6659850311397
"1: On Farm Measures (Organic)",2045,"Plant-based products",46.1323821808041
"1: On Farm Measures (Organic)",2050,"Animal-based products",14.5256298329797
"1: On Farm Measures (Organic)",2050,"Plant-based products",45.6940205115768
"2: On Farm Measures (Balanced)",2015,"Animal-based products",16.3145191107946
"2: On Farm Measures (Balanced)",2015,"Plant-based products",54.3571814378221
"2: On Farm Measures (Balanced)",2020,"Animal-based products",16.2331705201313
"2: On Farm Measures (Balanced)",2020,"Plant-based products",54.1459383373347
"2: On Farm Measures (Balanced)",2025,"Animal-based products",16.0681631322032
"2: On Farm Measures (Balanced)",2025,"Plant-based products",53.5871592683627
"2: On Farm Measures (Balanced)",2030,"Animal-based products",15.7903832883051
"2: On Farm Measures (Balanced)",2030,"Plant-based products",52.4860224404444
"2: On Farm Measures (Balanced)",2035,"Animal-based products",15.4295131785974
"2: On Farm Measures (Balanced)",2035,"Plant-based products",50.9875985446782
"2: On Farm Measures (Balanced)",2040,"Animal-based products",15.0722116832695
"2: On Farm Measures (Balanced)",2040,"Plant-based products",49.4814672317169
"2: On Farm Measures (Balanced)",2045,"Animal-based products",14.7151317333576
"2: On Farm Measures (Balanced)",2045,"Plant-based products",47.9767333456864
"2: On Farm Measures (Balanced)",2050,"Animal-based products",14.3602624277422
"2: On Farm Measures (Balanced)",2050,"Plant-based products",46.4675326016651
"3: Balanced Pathway",2015,"Animal-based products",16.3145191107946
"3: Balanced Pathway",2015,"Plant-based products",54.3571814378221
"3: Balanced Pathway",2020,"Animal-based products",16.2331705201313
"3: Balanced Pathway",2020,"Plant-based products",54.1459383373347
"3: Balanced Pathway",2025,"Animal-based products",15.9548135563885
"3: Balanced Pathway",2025,"Plant-based products",53.4877232631385
"3: Balanced Pathway",2030,"Animal-based products",15.4891058300586
"3: Balanced Pathway",2030,"Plant-based products",52.233724608139
"3: Balanced Pathway",2035,"Animal-based products",14.8990804054268
"3: Balanced Pathway",2035,"Plant-based products",50.588595153923
"3: Balanced Pathway",2040,"Animal-based products",14.2179435619151
"3: Balanced Pathway",2040,"Plant-based products",48.9256025564707
"3: Balanced Pathway",2045,"Animal-based products",13.5203095524073
"3: Balanced Pathway",2045,"Plant-based products",47.196102122747
"3: Balanced Pathway",2050,"Animal-based products",12.8395529434171
"3: Balanced Pathway",2050,"Plant-based products",45.0046735827927
"4: Widespread Engagement",2015,"Animal-based products",16.3145191107946
"4: Widespread Engagement",2015,"Plant-based products",54.3571814378221
"4: Widespread Engagement",2020,"Animal-based products",16.2331705201313
"4: Widespread Engagement",2020,"Plant-based products",54.1459383373347
"4: Widespread Engagement",2025,"Animal-based products",15.9576223577452
"4: Widespread Engagement",2025,"Plant-based products",53.5136835428218
"4: Widespread Engagement",2030,"Animal-based products",15.5047449754169
"4: Widespread Engagement",2030,"Plant-based products",52.5811083566701
"4: Widespread Engagement",2035,"Animal-based products",14.8671221267938
"4: Widespread Engagement",2035,"Plant-based products",51.433357530453
"4: Widespread Engagement",2040,"Animal-based products",14.1756718004196
"4: Widespread Engagement",2040,"Plant-based products",50.1025815589966
"4: Widespread Engagement",2045,"Animal-based products",13.4864893403362
"4: Widespread Engagement",2045,"Plant-based products",48.1646193599552
"4: Widespread Engagement",2050,"Animal-based products",12.7578924353014
"4: Widespread Engagement",2050,"Plant-based products",46.0658472404367
"5: NBS",2015,"Animal-based products",16.3145191107946
"5: NBS",2015,"Plant-based products",54.3571814378221
"5: NBS",2020,"Animal-based products",16.2326240340619
