"scenario","year","hwp"
"0: Baseline",2015,8313734.42168548
"0: Baseline",2016,12456478.918239
"0: Baseline",2017,12456478.918239
"0: Baseline",2018,12459326.3558453
"0: Baseline",2019,12691911.7387349
"0: Baseline",2020,12691911.7387349
"0: Baseline",2021,12579238.0818599
"0: Baseline",2022,12579238.0818599
"0: Baseline",2023,12581702.8285172
"0: Baseline",2024,12623394.2327451
"0: Baseline",2025,12623394.2327451
"0: Baseline",2026,11619805.9910208
"0: Baseline",2027,11619805.9910208
"0: Baseline",2028,11872354.4092377
"0: Baseline",2029,12021657.1683271
"0: Baseline",2030,12021657.1683271
"0: Baseline",2031,11968544.1486806
"0: Baseline",2032,11968544.1486806
"0: Baseline",2033,11968545.3384392
"0: Baseline",2034,12082599.7485064
"0: Baseline",2035,12082599.7485064
"0: Baseline",2036,10497494.599214
"0: Baseline",2037,10497494.599214
"0: Baseline",2038,10497496.1528988
"0: Baseline",2039,11746685.584673
"0: Baseline",2040,11746685.584673
"0: Baseline",2041,11578097.8265049
"0: Baseline",2042,11581379.9128273
"0: Baseline",2043,11581381.2285603
"0: Baseline",2044,11746539.0542605
"0: Baseline",2045,11746539.0542605
"0: Baseline",2046,10056412.953438
"0: Baseline",2047,10062775.7560072
"0: Baseline",2048,10062981.5142582
"0: Baseline",2049,10162273.9310266
"0: Baseline",2050,10162273.9310266
"0: Baseline",2051,10084613.5671248
"0: Baseline",2052,10087155.5785827
"0: Baseline",2053,10087155.5785827
"0: Baseline",2054,10188674.0903919
"0: Baseline",2055,10188674.0903919
"0: Baseline",2056,8229078.94153792
"0: Baseline",2057,8232032.18439435
"0: Baseline",2058,8232032.18439435
"0: Baseline",2059,12979590.7892384
"0: Baseline",2060,12979590.7892384
"0: Baseline",2061,13313965.0710663
"0: Baseline",2062,13349466.1078147
"0: Baseline",2063,13349466.1078147
"0: Baseline",2064,13355410.6864716
"0: Baseline",2065,13355410.6864716
"0: Baseline",2066,10611948.7162299
"0: Baseline",2067,10641322.817576
"0: Baseline",2068,10641322.817576
"0: Baseline",2069,10601993.0170258
"0: Baseline",2070,10601993.0170258
"0: Baseline",2071,10582030.2091133
"0: Baseline",2072,10794754.419139
"0: Baseline",2073,10794754.419139
"0: Baseline",2074,10766576.890013
"0: Baseline",2075,10766576.890013
"0: Baseline",2076,8408371.39606197
"0: Baseline",2077,8424959.69500226
"0: Baseline",2078,8424959.69500226
"0: Baseline",2079,11672316.5970398
"0: Baseline",2080,11672316.5970398
"0: Baseline",2081,11675148.4432095
"0: Baseline",2082,11827321.6548563
"0: Baseline",2083,11827321.6548563
"0: Baseline",2084,11751014.6545874
"0: Baseline",2085,11751014.6545874
"0: Baseline",2086,11751559.0118977
"0: Baseline",2087,11877210.294247
"0: Baseline",2088,11877210.294247
"0: Baseline",2089,11747631.3103861
"0: Baseline",2090,11747631.3103861
"0: Baseline",2091,12000181.3242792
"0: Baseline",2092,13105296.5599397
"0: Baseline",2093,13105296.5599397
"0: Baseline",2094,12976149.2100877
"0: Baseline",2095,12979431.2964102
"0: Baseline",2096,12979432.3951872
"0: Baseline",2097,13049012.4456493
"0: Baseline",2098,13049012.4456493
"0: Baseline",2099,9920465.89634702
"0: Baseline",2100,9926828.6989163
"1: On Farm Measures (Organic)",2015,8313734.42168548
"1: On Farm Measures (Organic)",2016,12456478.918239
"1: On Farm Measures (Organic)",2017,12456478.918239
"1: On Farm Measures (Organic)",2018,12459326.3558453
"1: On Farm Measures (Organic)",2019,12691911.7387349
"1: On Farm Measures (Organic)",2020,13157942.7675564
"1: On Farm Measures (Organic)",2021,13017331.9009523
"1: On Farm Measures (Organic)",2022,12989221.1472749
"1: On Farm Measures (Organic)",2023,12963621.4874027
"1: On Farm Measures (Organic)",2024,12976918.269059
"1: On Farm Measures (Organic)",2025,12958034.8577781
"1: On Farm Measures (Organic)",2026,11946928.742744
"1: On Farm Measures (Organic)",2027,11923292.050326
"1: On Farm Measures (Organic)",2028,12146616.9788677
"1: On Farm Measures (Organic)",2029,12267622.0001969
"1: On Farm Measures (Organic)",2030,12239868.9628649
"1: On Farm Measures (Organic)",2031,12162454.2363064
"1: On Farm Measures (Organic)",2032,12136929.8991711
"1: On Farm Measures (Organic)",2033,12111465.0204938
"1: On Farm Measures (Organic)",2034,12196607.7171502
"1: On Farm Measures (Organic)",2035,11736580.6266144
"1: On Farm Measures (Organic)",2036,10202296.2459932
"1: On Farm Measures (Organic)",2037,10202296.2459932
