"scenario","year","category","hwp"
"0: Baseline",2015,"Timber",8313734.42168548
"0: Baseline",2016,"Timber",12456478.918239
"0: Baseline",2017,"Timber",12456478.918239
"0: Baseline",2018,"Timber",12459326.3558453
"0: Baseline",2019,"Timber",12691911.7387349
"0: Baseline",2020,"Timber",12691911.7387349
"0: Baseline",2021,"Timber",12579238.0818599
"0: Baseline",2022,"Timber",12579238.0818599
"0: Baseline",2023,"Timber",12581702.8285172
"0: Baseline",2024,"Timber",12623394.2327451
"0: Baseline",2025,"Timber",12623394.2327451
"0: Baseline",2026,"Timber",11619805.9910208
"0: Baseline",2027,"Timber",11619805.9910208
"0: Baseline",2028,"Timber",11872354.4092377
"0: Baseline",2029,"Timber",12021657.1683271
"0: Baseline",2030,"Timber",12021657.1683271
"0: Baseline",2031,"Timber",11968544.1486806
"0: Baseline",2032,"Timber",11968544.1486806
"0: Baseline",2033,"Timber",11968545.3384392
"0: Baseline",2034,"Timber",12082599.7485064
"0: Baseline",2035,"Timber",12082599.7485064
"0: Baseline",2036,"Timber",10497494.599214
"0: Baseline",2037,"Timber",10497494.599214
"0: Baseline",2038,"Timber",10497496.1528988
"0: Baseline",2039,"Timber",11746685.584673
"0: Baseline",2040,"Timber",11746685.584673
"0: Baseline",2041,"Timber",11578097.8265049
"0: Baseline",2042,"Timber",11581379.9128273
"0: Baseline",2043,"Timber",11581381.2285603
"0: Baseline",2044,"Timber",11746539.0542605
"0: Baseline",2045,"Timber",11746539.0542605
"0: Baseline",2046,"Timber",10056412.953438
"0: Baseline",2047,"Timber",10062775.7560072
"0: Baseline",2048,"Timber",10062981.5142582
"0: Baseline",2049,"Timber",10162273.9310266
"0: Baseline",2050,"Timber",10162273.9310266
"0: Baseline",2051,"Timber",10084613.5671248
"0: Baseline",2052,"Timber",10087155.5785827
"0: Baseline",2053,"Timber",10087155.5785827
"0: Baseline",2054,"Timber",10188674.0903919
"0: Baseline",2055,"Timber",10188674.0903919
"0: Baseline",2056,"Timber",8229078.94153792
"0: Baseline",2057,"Timber",8232032.18439435
"0: Baseline",2058,"Timber",8232032.18439435
"0: Baseline",2059,"Timber",12979590.7892384
"0: Baseline",2060,"Timber",12979590.7892384
"0: Baseline",2061,"Timber",13313965.0710663
"0: Baseline",2062,"Timber",13349466.1078147
"0: Baseline",2063,"Timber",13349466.1078147
"0: Baseline",2064,"Timber",13355410.6864716
"0: Baseline",2065,"Timber",13355410.6864716
"0: Baseline",2066,"Timber",10611948.7162299
"0: Baseline",2067,"Timber",10641322.817576
"0: Baseline",2068,"Timber",10641322.817576
"0: Baseline",2069,"Timber",10601993.0170258
"0: Baseline",2070,"Timber",10601993.0170258
"0: Baseline",2071,"Timber",10582030.2091133
"0: Baseline",2072,"Timber",10794754.419139
"0: Baseline",2073,"Timber",10794754.419139
"0: Baseline",2074,"Timber",10766576.890013
"0: Baseline",2075,"Timber",10766576.890013
"0: Baseline",2076,"Timber",8408371.39606197
"0: Baseline",2077,"Timber",8424959.69500226
"0: Baseline",2078,"Timber",8424959.69500226
"0: Baseline",2079,"Timber",11672316.5970398
"0: Baseline",2080,"Timber",11672316.5970398
"0: Baseline",2081,"Timber",11675148.4432095
"0: Baseline",2082,"Timber",11827321.6548563
"0: Baseline",2083,"Timber",11827321.6548563
"0: Baseline",2084,"Timber",11751014.6545874
"0: Baseline",2085,"Timber",11751014.6545874
"0: Baseline",2086,"Timber",11751559.0118977
"0: Baseline",2087,"Timber",11877210.294247
"0: Baseline",2088,"Timber",11877210.294247
"0: Baseline",2089,"Timber",11747631.3103861
"0: Baseline",2090,"Timber",11747631.3103861
"0: Baseline",2091,"Timber",12000181.3242792
"0: Baseline",2092,"Timber",13105296.5599397
"0: Baseline",2093,"Timber",13105296.5599397
"0: Baseline",2094,"Timber",12976149.2100877
"0: Baseline",2095,"Timber",12979431.2964102
"0: Baseline",2096,"Timber",12979432.3951872
"0: Baseline",2097,"Timber",13049012.4456493
"0: Baseline",2098,"Timber",13049012.4456493
"0: Baseline",2099,"Timber",9920465.89634702
"0: Baseline",2100,"Timber",9926828.6989163
"1: On Farm Measures (Organic)",2015,"Timber",8313734.42168548
"1: On Farm Measures (Organic)",2016,"Timber",12456478.918239
"1: On Farm Measures (Organic)",2017,"Timber",12456478.918239
"1: On Farm Measures (Organic)",2018,"Timber",12459326.3558453
"1: On Farm Measures (Organic)",2019,"Timber",12691911.7387349
"1: On Farm Measures (Organic)",2020,"Fuel",0
"1: On Farm Measures (Organic)",2020,"Timber",13157942.7675564
"1: On Farm Measures (Organic)",2021,"Fuel",0
"1: On Farm Measures (Organic)",2021,"Timber",13017331.9009523
"1: On Farm Measures (Organic)",2022,"Fuel",0
"1: On Farm Measures (Organic)",2022,"Timber",12989221.1472749
"1: On Farm Measures (Organic)",2023,"Fuel",0
"1: On Farm Measures (Organic)",2023,"Timber",12963621.4874027
"1: On Farm Measures (Organic)",2024,"Fuel",0
"1: On Farm Measures (Organic)",2024,"Timber",12976918.269059
"1: On Farm Measures (Organic)",2025,"Fuel",0
"1: On Farm Measures (Organic)",2025,"Timber",12958034.8577781
"1: On Farm Measures (Organic)",2026,"Fuel",0
"1: On Farm Measures (Organic)",2026,"Timber",11946928.742744
"1: On Farm Measures (Organic)",2027,"Fuel",0
"1: On Farm Measures (Organic)",2027,"Timber",11923292.050326
"1: On Farm Measures (Organic)",2028,"Fuel",0
"1: On Farm Measures (Organic)",2028,"Timber",12146616.9788677
"1: On Farm Measures (Organic)",2029,"Fuel",0
"1: On Farm Measures (Organic)",2029,"Timber",12267622.0001969
"1: On Farm Measures (Organic)",2030,"Fuel",0
"1: On Farm Measures (Organic)",2030,"Timber",12239868.9628649
"1: On Farm Measures (Organic)",2031,"Fuel",0
"1: On Farm Measures (Organic)",2031,"Timber",12162454.2363064
"1: On Farm Measures (Organic)",2032,"Fuel",0
"1: On Farm Measures (Organic)",2032,"Timber",12136929.8991711
"1: On Farm Measures (Organic)",2033,"Fuel",0
"1: On Farm Measures (Organic)",2033,"Timber",12111465.0204938
"1: On Farm Measures (Organic)",2034,"Fuel",0
"1: On Farm Measures (Organic)",2034,"Timber",12196607.7171502
"1: On Farm Measures (Organic)",2035,"Fuel",0
"1: On Farm Measures (Organic)",2035,"Timber",11736580.6266144
"1: On Farm Measures (Organic)",2036,"Fuel",0
"1: On Farm Measures (Organic)",2036,"Timber",10202296.2459932
"1: On Farm Measures (Organic)",2037,"Fuel",0
"1: On Farm Measures (Organic)",2037,"Timber",10202296.2459932
"1: On Farm Measures (Organic)",2038,"Fuel",0
"1: On Farm Measures (Organic)",2038,"Timber",10202297.7765499
"1: On Farm Measures (Organic)",2039,"Fuel",0
"1: On Farm Measures (Organic)",2039,"Timber",11414919.0788632
"1: On Farm Measures (Organic)",2040,"Fuel",0
"1: On Farm Measures (Organic)",2040,"Timber",11437769.564012
"1: On Farm Measures (Organic)",2041,"Fuel",0
"1: On Farm Measures (Organic)",2041,"Timber",11273737.4671616
"1: On Farm Measures (Organic)",2042,"Fuel",0
"1: On Farm Measures (Organic)",2042,"Timber",11276958.714569
"1: On Farm Measures (Organic)",2043,"Fuel",0
"1: On Farm Measures (Organic)",2043,"Timber",11276960.0107161
"1: On Farm Measures (Organic)",2044,"Fuel",0
"1: On Farm Measures (Organic)",2044,"Timber",11436928.7863446
"1: On Farm Measures (Organic)",2045,"Fuel",0
"1: On Farm Measures (Organic)",2045,"Timber",11459120.3128957
"1: On Farm Measures (Organic)",2046,"Fuel",0
"1: On Farm Measures (Organic)",2046,"Timber",9821744.06397238
"1: On Farm Measures (Organic)",2047,"Fuel",0
"1: On Farm Measures (Organic)",2047,"Timber",9828063.40404163
"1: On Farm Measures (Organic)",2048,"Fuel",0
"1: On Farm Measures (Organic)",2048,"Timber",9828266.09938041
"1: On Farm Measures (Organic)",2049,"Fuel",0
"1: On Farm Measures (Organic)",2049,"Timber",9924627.433734
"1: On Farm Measures (Organic)",2050,"Fuel",0
"1: On Farm Measures (Organic)",2050,"Timber",9936056.96253968
"1: On Farm Measures (Organic)",2051,"Fuel",0
"1: On Farm Measures (Organic)",2051,"Timber",9860596.17424281
"1: On Farm Measures (Organic)",2052,"Fuel",0
"1: On Farm Measures (Organic)",2052,"Timber",9863109.48491848
"1: On Farm Measures (Organic)",2053,"Fuel",0
"1: On Farm Measures (Organic)",2053,"Timber",9863109.48491848
"1: On Farm Measures (Organic)",2054,"Fuel",0
"1: On Farm Measures (Organic)",2054,"Timber",9961725.92438364
"1: On Farm Measures (Organic)",2055,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2055,"Timber",9958996.25833818
"1: On Farm Measures (Organic)",2056,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2056,"Timber",8061696.01552742
"1: On Farm Measures (Organic)",2057,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2057,"Timber",8064620.65000519
"1: On Farm Measures (Organic)",2058,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2058,"Timber",8064620.65000519
"1: On Farm Measures (Organic)",2059,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2059,"Timber",12664110.4840206
"1: On Farm Measures (Organic)",2060,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2060,"Timber",12655502.604049
"1: On Farm Measures (Organic)",2061,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2061,"Timber",12985005.7799947
"1: On Farm Measures (Organic)",2062,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2062,"Timber",13019485.6571351
"1: On Farm Measures (Organic)",2063,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2063,"Timber",13019485.6571351
"1: On Farm Measures (Organic)",2064,"Fuel",1264851.62588318
"1: On Farm Measures (Organic)",2064,"Timber",13025321.6797957
"1: On Farm Measures (Organic)",2065,"Fuel",1264845.01426227
"1: On Farm Measures (Organic)",2065,"Timber",13020564.9475821
"1: On Farm Measures (Organic)",2066,"Fuel",1264845.01426227
"1: On Farm Measures (Organic)",2066,"Timber",10340173.2214528
"1: On Farm Measures (Organic)",2067,"Fuel",1264845.01426227
"1: On Farm Measures (Organic)",2067,"Timber",10368792.0209681
"1: On Farm Measures (Organic)",2068,"Fuel",1264845.01426227
"1: On Farm Measures (Organic)",2068,"Timber",10368792.0209681
"1: On Farm Measures (Organic)",2069,"Fuel",1265060.49239864
"1: On Farm Measures (Organic)",2069,"Timber",10330813.9038152
"1: On Farm Measures (Organic)",2070,"Fuel",1265058.288525
"1: On Farm Measures (Organic)",2070,"Timber",10744433.549538
"1: On Farm Measures (Organic)",2071,"Fuel",1265058.288525
"1: On Farm Measures (Organic)",2071,"Timber",10725104.6854326
"1: On Farm Measures (Organic)",2072,"Fuel",1265058.288525
"1: On Farm Measures (Organic)",2072,"Timber",10935461.3137019
"1: On Farm Measures (Organic)",2073,"Fuel",1265058.288525
"1: On Farm Measures (Organic)",2073,"Timber",10935461.3137019
"1: On Farm Measures (Organic)",2074,"Fuel",1265003.924775
"1: On Farm Measures (Organic)",2074,"Timber",10908268.4832217
"1: On Farm Measures (Organic)",2075,"Fuel",1265046.11321318
"1: On Farm Measures (Organic)",2075,"Timber",10850727.1882751
"1: On Farm Measures (Organic)",2076,"Fuel",1265046.11321318
"1: On Farm Measures (Organic)",2076,"Timber",8567907.50767398
"1: On Farm Measures (Organic)",2077,"Fuel",1265046.11321318
"1: On Farm Measures (Organic)",2077,"Timber",8584023.21567932
"1: On Farm Measures (Organic)",2078,"Fuel",1265046.11321318
"1: On Farm Measures (Organic)",2078,"Timber",8584023.21567932
"1: On Farm Measures (Organic)",2079,"Fuel",1265046.60742909
"1: On Farm Measures (Organic)",2079,"Timber",11735646.2530329
"1: On Farm Measures (Organic)",2080,"Fuel",1265085.33263727
"1: On Farm Measures (Organic)",2080,"Timber",12267930.4801977
"1: On Farm Measures (Organic)",2081,"Fuel",1265085.33263727
"1: On Farm Measures (Organic)",2081,"Timber",12270672.0323869
"1: On Farm Measures (Organic)",2082,"Fuel",1265085.33263727
"1: On Farm Measures (Organic)",2082,"Timber",12418009.3357076
"1: On Farm Measures (Organic)",2083,"Fuel",1265085.33263727
"1: On Farm Measures (Organic)",2083,"Timber",12418009.3357076
"1: On Farm Measures (Organic)",2084,"Fuel",1265204.43867136
"1: On Farm Measures (Organic)",2084,"Timber",12344176.5365125
"1: On Farm Measures (Organic)",2085,"Fuel",988260.325261364
"1: On Farm Measures (Organic)",2085,"Timber",12103866.9211682
"1: On Farm Measures (Organic)",2086,"Fuel",988260.325261364
"1: On Farm Measures (Organic)",2086,"Timber",12104361.3946187
"1: On Farm Measures (Organic)",2087,"Fuel",988260.325261364
"1: On Farm Measures (Organic)",2087,"Timber",12226148.8632105
"1: On Farm Measures (Organic)",2088,"Fuel",988260.325261364
"1: On Farm Measures (Organic)",2088,"Timber",12226148.8632105
"1: On Farm Measures (Organic)",2089,"Fuel",988064.121545454
"1: On Farm Measures (Organic)",2089,"Timber",12100610.8515312
"1: On Farm Measures (Organic)",2090,"Fuel",988064.121545454
"1: On Farm Measures (Organic)",2090,"Timber",12109720.7156937
"1: On Farm Measures (Organic)",2091,"Fuel",988064.121545454
"1: On Farm Measures (Organic)",2091,"Timber",12354197.2335474
"1: On Farm Measures (Organic)",2092,"Fuel",988064.121545454
"1: On Farm Measures (Organic)",2092,"Timber",13427732.6974884
"1: On Farm Measures (Organic)",2093,"Fuel",1264954.71231
"1: On Farm Measures (Organic)",2093,"Timber",13441302.8088998
"1: On Farm Measures (Organic)",2094,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2094,"Timber",13315462.0336525
"1: On Farm Measures (Organic)",2095,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2095,"Timber",12621143.1920258
"1: On Farm Measures (Organic)",2096,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2096,"Timber",12621144.2744465
"1: On Farm Measures (Organic)",2097,"Fuel",276890.590764545
"1: On Farm Measures (Organic)",2097,"Timber",12688559.2496356
"1: On Farm Measures (Organic)",2098,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2098,"Timber",12696560.6109481
"1: On Farm Measures (Organic)",2099,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2099,"Timber",9667088.32188208
"1: On Farm Measures (Organic)",2100,"Fuel",276872.015258182
"1: On Farm Measures (Organic)",2100,"Timber",9673407.66195133
"2: On Farm Measures (Balanced)",2015,"Timber",8313734.42168548
"2: On Farm Measures (Balanced)",2016,"Timber",12456478.918239
"2: On Farm Measures (Balanced)",2017,"Timber",12456478.918239
"2: On Farm Measures (Balanced)",2018,"Timber",12459326.3558453
"2: On Farm Measures (Balanced)",2019,"Timber",12691911.7387349
"2: On Farm Measures (Balanced)",2020,"Fuel",0
"2: On Farm Measures (Balanced)",2020,"Timber",13157942.7675564
"2: On Farm Measures (Balanced)",2021,"Fuel",0
"2: On Farm Measures (Balanced)",2021,"Timber",13038104.8009523
"2: On Farm Measures (Balanced)",2022,"Fuel",0
"2: On Farm Measures (Balanced)",2022,"Timber",13030766.9472749
"2: On Farm Measures (Balanced)",2023,"Fuel",0
"2: On Farm Measures (Balanced)",2023,"Timber",13025940.1874027
"2: On Farm Measures (Balanced)",2024,"Fuel",0
"2: On Farm Measures (Balanced)",2024,"Timber",13060009.869059
"2: On Farm Measures (Balanced)",2025,"Fuel",0
"2: On Farm Measures (Balanced)",2025,"Timber",13061899.3577781
"2: On Farm Measures (Balanced)",2026,"Fuel",0
