"scenario","lcm_from","lcm_to","area"
"0: Baseline","Arable and horticulture","Arable and horticulture",5395349
"0: Baseline","Arable and horticulture","Urban and suburban",151162.5625
"0: Baseline","Bog","Bog",1089384.9375
"0: Baseline","Broadleaved woodland","Broadleaved woodland",1614906.1875
"0: Baseline","Coastal","Coastal",388057.875
"0: Baseline","Coniferous woodland","Coniferous woodland",1766968.9375
"0: Baseline","Fen, marsh & swamp","Fen, marsh & swamp",166634.625
"0: Baseline","Freshwater","Freshwater",312163.0625
"0: Baseline","Heather","Heather",2694729
"0: Baseline","Improved grassland","Improved grassland",6694946.375
"0: Baseline","Improved grassland","Urban and suburban",309870.625
"0: Baseline","Inland rock","Inland rock",126968.75
"0: Baseline","Saltmarsh","Saltmarsh",71372.875
"0: Baseline","Semi-natural grassland","Semi-natural grassland",2236996.6875
"0: Baseline","Urban and suburban","Urban and suburban",1705801.625
"1: On Farm Measures (Organic)","Arable and horticulture","Arable and horticulture",3785554.625
"1: On Farm Measures (Organic)","Arable and horticulture","Arable and horticulture (agroforestry)",287683.375
"1: On Farm Measures (Organic)","Arable and horticulture","Arable and horticulture (organic and agroforestry)",487.4375
"1: On Farm Measures (Organic)","Arable and horticulture","Arable and horticulture (organic)",1321465.75
"1: On Farm Measures (Organic)","Arable and horticulture","Coniferous woodland",659.5
"1: On Farm Measures (Organic)","Arable and horticulture","Paludiculture",15835.0625
"1: On Farm Measures (Organic)","Arable and horticulture","Urban and suburban",134825.8125
"1: On Farm Measures (Organic)","Arable and horticulture (agroforestry)","Arable and horticulture (organic and agroforestry)",370
"1: On Farm Measures (Organic)","Arable and horticulture (organic)","Arable and horticulture (organic and agroforestry)",41628.75
"1: On Farm Measures (Organic)","Arable and horticulture (organic)","Paludiculture",2500.875
"1: On Farm Measures (Organic)","Arable and horticulture (organic)","Urban and suburban",16336.75
"1: On Farm Measures (Organic)","Bog","Bog",1088079.5
"1: On Farm Measures (Organic)","Bog","Coniferous woodland",1305.4375
"1: On Farm Measures (Organic)","Broadleaved woodland","Broadleaved woodland",1614906.1875
"1: On Farm Measures (Organic)","Coastal","Coastal",388057.875
"1: On Farm Measures (Organic)","Coniferous woodland","Bog",49089.625
"1: On Farm Measures (Organic)","Coniferous woodland","Coniferous woodland",1711123.75
"1: On Farm Measures (Organic)","Coniferous woodland","Fen, marsh & swamp",6755.5625
"1: On Farm Measures (Organic)","Fen, marsh & swamp","Fen, marsh & swamp",166634.625
"1: On Farm Measures (Organic)","Freshwater","Freshwater",312163.0625
"1: On Farm Measures (Organic)","Heather","Bog",995020.5625
"1: On Farm Measures (Organic)","Heather","Coniferous woodland",25040.3125
"1: On Farm Measures (Organic)","Heather","Fen, marsh & swamp",130636.4375
"1: On Farm Measures (Organic)","Heather","Heather",1544031.6875
"1: On Farm Measures (Organic)","Improved grassland","Coniferous woodland",13280.25
"1: On Farm Measures (Organic)","Improved grassland","Improved grassland",4447527.875
"1: On Farm Measures (Organic)","Improved grassland","Improved grassland (agroforestry)",641371.0625
"1: On Farm Measures (Organic)","Improved grassland","Improved grassland (organic and agroforestry)",8416
"1: On Farm Measures (Organic)","Improved grassland","Improved grassland (organic)",1617579.875
"1: On Farm Measures (Organic)","Improved grassland","Urban and suburban",276641.9375
"1: On Farm Measures (Organic)","Improved grassland (agroforestry)","Improved grassland (organic and agroforestry)",8172.5625
"1: On Farm Measures (Organic)","Improved grassland (organic)","Improved grassland (organic and agroforestry)",99984.0625
"1: On Farm Measures (Organic)","Improved grassland (organic)","Urban and suburban",33228.6875
"1: On Farm Measures (Organic)","Inland rock","Inland rock",126968.75
"1: On Farm Measures (Organic)","Saltmarsh","Saltmarsh",71372.875
"1: On Farm Measures (Organic)","Semi-natural grassland","Bog",310264
"1: On Farm Measures (Organic)","Semi-natural grassland","Coniferous woodland",25327.4375
"1: On Farm Measures (Organic)","Semi-natural grassland","Fen, marsh & swamp",74371.1875
"1: On Farm Measures (Organic)","Semi-natural grassland","Semi-natural grassland",1827034.0625
"1: On Farm Measures (Organic)","Urban and suburban","Urban and suburban",1705801.625
"2: On Farm Measures (Balanced)","Arable and horticulture","Arable and horticulture",4576562.5625
"2: On Farm Measures (Balanced)","Arable and horticulture","Arable and horticulture (agroforestry)",329799.5625
"2: On Farm Measures (Balanced)","Arable and horticulture","Biomass crops",469991.4375
"2: On Farm Measures (Balanced)","Arable and horticulture","Coniferous woodland",659.5
"2: On Farm Measures (Balanced)","Arable and horticulture","Paludiculture",18335.9375
"2: On Farm Measures (Balanced)","Arable and horticulture","Urban and suburban",151162.5625
"2: On Farm Measures (Balanced)","Bog","Bog",1088079.5
"2: On Farm Measures (Balanced)","Bog","Coniferous woodland",1305.4375
"2: On Farm Measures (Balanced)","Broadleaved woodland","Broadleaved woodland",1614906.1875
"2: On Farm Measures (Balanced)","Coastal","Coastal",388057.875
"2: On Farm Measures (Balanced)","Coniferous woodland","Bog",49089.625
"2: On Farm Measures (Balanced)","Coniferous woodland","Coniferous woodland",1711123.75
"2: On Farm Measures (Balanced)","Coniferous woodland","Fen, marsh & swamp",6755.5625
"2: On Farm Measures (Balanced)","Fen, marsh & swamp","Fen, marsh & swamp",166634.625
"2: On Farm Measures (Balanced)","Freshwater","Freshwater",312163.0625
"2: On Farm Measures (Balanced)","Heather","Bog",995020.5625
"2: On Farm Measures (Balanced)","Heather","Coniferous woodland",25040.3125
"2: On Farm Measures (Balanced)","Heather","Fen, marsh & swamp",130636.4375
"2: On Farm Measures (Balanced)","Heather","Heather",1544031.6875
"2: On Farm Measures (Balanced)","Improved grassland","Biomass crops",234989.0625
"2: On Farm Measures (Balanced)","Improved grassland","Coniferous woodland",13280.25
"2: On Farm Measures (Balanced)","Improved grassland","Improved grassland",5946825.375
"2: On Farm Measures (Balanced)","Improved grassland","Improved grassland (agroforestry)",499851.6875
"2: On Farm Measures (Balanced)","Improved grassland","Urban and suburban",309870.625
"2: On Farm Measures (Balanced)","Inland rock","Inland rock",126968.75
"2: On Farm Measures (Balanced)","Saltmarsh","Saltmarsh",71372.875
"2: On Farm Measures (Balanced)","Semi-natural grassland","Bog",310264
